Date,Open,High,Low,Close,Volume
08/17/2023,"89.88","90.40","89.30","89.30","701,351"
08/16/2023,"90.52","90.68","89.70","90.34","704,108"
08/15/2023,"90.92","91.20","90.02","90.34","799,925"
08/14/2023,"90.04","91.06","89.60","90.96","894,015"
08/11/2023,"90.40","90.74","89.74","90.04","859,008"
08/10/2023,"90.00","90.60","89.48","90.60","699,104"
08/09/2023,"89.70","90.54","89.52","89.78","584,062"
08/08/2023,"89.50","90.20","89.26","89.50","419,035"
08/07/2023,"89.50","89.60","89.04","89.50","606,830"
08/04/2023,"89.90","90.12","89.08","89.72","838,553"
08/03/2023,"89.36","90.20","88.92","89.60","1,067,313"
08/02/2023,"87.84","90.50","87.50","89.30","1,391,310"
08/01/2023,"89.16","89.98","88.54","89.08","1,114,656"
07/31/2023,"91.24","92.56","88.90","89.14","2,759,181"
07/28/2023,"97.72","97.88","96.46","96.86","738,362"
07/27/2023,"98.56","99.30","98.00","98.00","799,657"
07/26/2023,"98.00","98.32","96.96","98.12","315,031"
07/25/2023,"97.90","98.70","97.90","98.10","333,087"
07/24/2023,"98.44","98.74","97.44","98.20","433,680"
07/21/2023,"98.00","98.88","97.74","98.88","627,910"
07/20/2023,"97.60","98.36","96.78","97.46","485,991"
07/19/2023,"97.80","98.20","97.34","97.74","525,963"
07/18/2023,"96.16","97.74","96.12","97.36","544,676"
07/17/2023,"97.22","97.48","96.50","96.58","348,700"
07/14/2023,"97.64","98.32","97.22","97.22","666,050"
07/13/2023,"94.60","96.14","94.60","95.72","473,017"
07/12/2023,"94.08","94.90","93.70","94.88","565,685"
07/11/2023,"94.30","94.58","93.74","93.74","388,235"
07/10/2023,"94.42","95.26","94.00","94.00","509,147"
07/07/2023,"94.46","95.08","93.96","94.66","732,472"
07/06/2023,"95.22","95.22","93.86","94.34","640,637"
07/05/2023,"95.86","96.14","94.82","95.34","505,025"
07/04/2023,"95.88","96.34","95.68","96.10","633,175"
07/03/2023,"94.40","96.66","94.40","96.04","643,348"
06/30/2023,"93.52","94.58","93.40","94.18","835,056"
06/29/2023,"93.08","93.70","92.38","93.30","366,210"
06/28/2023,"92.82","93.56","92.44","93.00","647,679"
06/27/2023,"94.04","94.10","92.24","92.72","759,051"
06/26/2023,"95.06","95.14","93.60","94.00","710,025"
06/23/2023,"95.06","96.00","94.94","95.46","381,617"
06/22/2023,"93.78","95.30","93.62","95.10","862,552"
06/21/2023,"93.90","94.10","93.44","94.02","465,981"
06/20/2023,"94.12","94.50","93.76","94.14","466,706"
06/19/2023,"95.30","95.30","93.80","94.12","535,326"
06/16/2023,"94.70","95.64","94.50","95.50","1,365,814"
06/15/2023,"93.56","94.72","93.20","94.66","700,147"
06/14/2023,"93.82","94.02","93.44","93.94","645,652"
06/13/2023,"93.14","94.14","92.56","93.98","719,159"
06/12/2023,"93.56","93.66","92.94","92.94","554,664"
06/09/2023,"94.34","94.50","92.62","93.10","661,144"
06/08/2023,"95.00","95.04","93.92","94.10","547,380"
06/07/2023,"95.00","95.66","94.76","95.28","643,652"
06/06/2023,"94.76","95.54","94.70","95.36","659,260"
06/05/2023,"94.98","95.06","94.22","94.88","595,508"
06/02/2023,"94.92","95.00","94.10","94.32","1,431,713"
06/01/2023,"95.00","95.00","94.08","94.50","804,609"
05/31/2023,"93.70","95.62","93.66","94.48","3,595,898"
05/30/2023,"100.00","100.20","96.20","96.60","1,002,442"
05/29/2023,"99.52","99.74","99.30","99.60","186,822"
05/26/2023,"99.32","100.00","98.78","99.56","540,083"
05/25/2023,"100.15","100.30","98.92","99.48","393,903"
05/24/2023,"101.35","101.35","99.62","100.50","588,175"
05/23/2023,"102.00","102.15","101.10","101.55","524,697"
05/22/2023,"101.50","102.50","101.50","101.90","630,431"
05/19/2023,"101.60","101.95","101.20","101.20","491,294"
05/18/2023,"102.15","102.55","101.35","101.55","619,521"
05/17/2023,"104.80","104.80","101.25","101.65","890,287"
05/16/2023,"104.85","105.00","104.20","104.30","435,147"
05/15/2023,"104.40","105.45","104.30","104.90","454,994"
05/12/2023,"103.95","104.65","103.25","103.65","420,391"
05/11/2023,"102.70","103.80","102.70","103.75","395,087"
05/10/2023,"103.10","103.75","101.80","102.55","536,423"
05/09/2023,"105.30","105.30","103.20","103.30","623,333"
05/08/2023,"104.15","105.70","104.15","105.05","510,872"
05/05/2023,"106.00","106.30","103.90","104.40","534,282"
05/04/2023,"104.65","105.40","103.80","105.40","588,794"
05/03/2023,"103.60","105.10","103.60","104.60","481,878"
05/02/2023,"104.30","104.35","103.40","103.60","467,521"
04/28/2023,"103.80","104.60","103.55","104.05","602,214"
04/27/2023,"103.30","104.30","103.05","104.10","470,415"
04/26/2023,"104.45","105.10","103.90","104.25","642,900"
04/25/2023,"103.25","105.00","102.60","104.65","638,933"
04/24/2023,"102.25","103.60","101.95","103.25","692,431"
04/21/2023,"102.20","103.30","102.15","102.85","689,606"
04/20/2023,"103.05","103.20","101.60","102.75","696,334"
04/19/2023,"102.90","104.20","101.85","103.85","1,010,762"
04/18/2023,"99.76","100.05","99.08","99.90","805,718"
04/17/2023,"101.35","102.00","99.30","99.74","1,205,436"
04/14/2023,"101.85","101.90","100.55","101.20","526,278"
04/13/2023,"100.70","101.25","100.10","101.20","677,669"
04/12/2023,"101.65","101.65","100.20","100.75","674,830"
04/11/2023,"101.40","101.95","100.75","101.80","441,133"
04/06/2023,"101.55","102.10","100.90","101.55","600,539"
04/05/2023,"99.88","101.60","99.36","101.60","965,693"
